id;title;slug;published;edited;body
1;mobile Fish;Home Loan Account Table Computer;2019-10-01T23:21:55;2019-10-01T13:44:15;../fake-data/blob/hipster.txt
2;seamless Metal deposit;Producer;2019-10-01T04:46:51;2019-10-01T02:14:03;../fake-data/blob/hipster.txt
3;Electronics;Soap methodology Albania;2019-10-01T14:23:34;2019-10-02T00:12:21;../fake-data/blob/hipster.txt
4;Namibia;Steel zero administration;2019-10-01T15:58:00;2019-10-01T19:10:22;../fake-data/blob/hipster.txt
5;Licensed Savings Account;Cambridgeshire Mississippi;2019-10-01T23:38:40;2019-10-01T04:07:15;../fake-data/blob/hipster.txt
6;Yuan Renminbi Centers;Factors;2019-10-01T01:35:04;2019-10-01T11:14:26;../fake-data/blob/hipster.txt
7;envisioneer Music Public-key;infomediaries;2019-10-01T21:49:49;2019-10-01T10:07:10;../fake-data/blob/hipster.txt
8;backing up Salad;Digitized invoice;2019-10-01T17:16:42;2019-10-01T14:33:20;../fake-data/blob/hipster.txt
9;sky blue Georgia;Facilitator;2019-10-01T06:09:23;2019-10-01T13:57:55;../fake-data/blob/hipster.txt
10;e-enable Communications capacitor;Awesome;2019-10-01T20:03:20;2019-10-01T12:15:34;../fake-data/blob/hipster.txt
