id;invite_strikes;copy_pasta_strikes;everyone_mention_strikes;referral_strikes;duplicate_strikes;resolve_urls;enabled
1;66252;75536;31171;42515;52006;false;true
2;56770;18485;3131;96958;84228;true;false
3;93949;39515;89482;92665;59789;true;true
4;32654;8849;57044;19598;52083;false;true
5;32533;84453;38867;74732;27134;true;true
6;58675;35675;96525;28093;60703;true;false
7;14092;29627;80219;16526;7455;false;true
8;42340;77224;39488;19871;29348;false;false
9;81546;19884;70685;71134;72900;true;true
10;60595;7404;92630;35846;65107;false;true
