id;user_id;user_name;icon;commands_issued;blacklisted;user_level
1;86310;Investment Account archive Fantastic Plastic Chicken;payment;59129;true;STANDARD
2;47221;Frozen bus;hard drive Robust Networked;4043;true;STANDARD
3;3142;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;false;SUPPORTER
4;92969;virtual deposit;Squares mint green e-business;88328;true;DEVELOPER
5;89609;support Gorgeous;withdrawal;52;true;STANDARD
6;51074;supply-chains magenta;encompassing;24412;true;OWNER
7;51879;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;71227;false;OWNER
8;3688;Personal Loan Account;paradigms Home;34507;true;SUPPORTER
9;48945;Designer Persistent;Handmade 24/7 Re-contextualized;80313;false;DEVELOPER
10;53577;Licensed hacking installation;Argentine Peso;85835;true;SUPPORTER
