id;name;image;message;message_id;text_channel_id;finish;expired;guild_id
1;interface Cotton Robust;user-centric Infrastructure;../fake-data/blob/hipster.txt;85841;23859;2019-10-01T14:27:50;true;75087
2;compress Fantastic Global;Buckinghamshire monetize;../fake-data/blob/hipster.txt;29763;89552;2019-10-01T22:21:36;false;5348
3;Interactions;Fantastic time-frame Quality;../fake-data/blob/hipster.txt;95060;48252;2019-10-01T10:59:50;false;63183
4;Common;Money Market Account;../fake-data/blob/hipster.txt;55370;67251;2019-10-01T19:39:15;true;94619
5;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;../fake-data/blob/hipster.txt;35091;70583;2019-10-01T21:57:00;true;14299
6;program Auto Loan Account Refined;infomediaries;../fake-data/blob/hipster.txt;22257;7276;2019-10-01T15:14:25;true;89189
7;Steel Avon Visionary;exploit transition;../fake-data/blob/hipster.txt;81279;23668;2019-10-01T02:01:34;true;98600
8;navigate repurpose;Buckinghamshire;../fake-data/blob/hipster.txt;37798;55840;2019-10-01T07:50:16;false;24872
9;array supply-chains Advanced;Parkway Handmade Wooden Cheese;../fake-data/blob/hipster.txt;11752;82279;2019-10-01T09:10:44;true;74604
10;Idaho Markets grow;Refined;../fake-data/blob/hipster.txt;52837;22359;2019-10-01T14:17:16;true;80210
