id;character_name;character_type;application_file;application_file_content_type;status
1;Strategist;Incredible Fresh Car Tuvalu;../fake-data/blob/hipster.png;image/png;NEW
2;Central African Republic;magenta heuristic;../fake-data/blob/hipster.png;image/png;ACCEPTED
3;Product;Brand Regional Court;../fake-data/blob/hipster.png;image/png;ACCEPTED
4;Junctions one-to-one;analyzing holistic;../fake-data/blob/hipster.png;image/png;ACCEPTED
5;Beauty dynamic schemas;Pound Sterling Keyboard;../fake-data/blob/hipster.png;image/png;NEW
6;Personal Loan Account markets;SCSI Aruba Chair;../fake-data/blob/hipster.png;image/png;NEW
7;Liaison engage navigate;Assistant generating;../fake-data/blob/hipster.png;image/png;ACCEPTED
8;SMS;Zimbabwe parse Customer;../fake-data/blob/hipster.png;image/png;ACCEPTED
9;enhance Multi-channelled purple;Response;../fake-data/blob/hipster.png;image/png;PENDING
10;Checking Account global Steel;Borders Springs connecting;../fake-data/blob/hipster.png;image/png;ACCEPTED
