id;poll_name;description;text_channel_id;finish_time;completed;guild_id
1;SAS;quantify;18452;2019-10-01;false;53659
2;Central Polarised;back-end Roads bypass;3668;2019-10-01;false;13311
3;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;44741;2019-10-01;true;39716
4;Gorgeous;leverage Toys software;21144;2019-10-01;false;53533
5;Total;Investment Account Indian Rupee;78917;2019-10-01;false;47958
6;Nebraska;Nevada quantify architectures;12758;2019-10-01;false;33744
7;Dynamic Home Loan Account;dot-com;98651;2019-10-01;true;93369
8;Music;Pants;24595;2019-10-01;false;85081
9;Gorgeous;Car Internal Small;52451;2019-10-02;false;69696
10;Executive Regional Wisconsin;TCP parsing Networked;17088;2019-10-01;true;82086
