id;guild_id;guild_name;icon;owner;server_level
1;83061;Administrator Frozen matrix;mint green streamline Mobility;72159;STANDARD
2;75050;back-end;Mouse open-source payment;52306;STANDARD
3;81659;models e-enable;Money Market Account Saint Helena;43874;PRO
4;39148;Mali Unbranded Concrete Soap;Cotton Tactics;62770;STANDARD
5;62007;Rwanda Customer;Liaison copy program;77857;PRO
6;49398;navigate Licensed Bosnia and Herzegovina;indexing Rubber;39728;PRO
7;22925;application driver;Credit Card Account Nevada;71617;STANDARD
8;82679;Interactions;Idaho strategize;46200;STANDARD
9;15335;Connecticut Avon Money Market Account;bus;59296;PRO
10;2302;deposit quantify maximize;markets;73644;STANDARD
