id;guild_type;play_style;description;website;discord_url
1;PRO;PVE;programming;FTP;Persistent Investment Account
2;CASUAL;WPVP;synergize;JSON National;interactive capacitor
3;PRO;CHILL;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist
4;SEMI_PRO;PVE;Bedfordshire;application scale;indigo National
5;CASUAL;ANY;Arkansas reciprocal;Mountain Malaysia supply-chains;Borders hack
6;PRO;WPVP;payment schemas Industrial;calculating;withdrawal Toys white
7;SEMI_PRO;PVE;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding
8;SEMI_PRO;RAIDING;Kids;microchip;Music Salad North Carolina
9;SEMI_PRO;PVE;distributed Computers;Money Market Account users Guinea;SQL lavender
10;SEMI_PRO;PVE;supply-chains;Bedfordshire;Peru withdrawal Down-sized
