id;prefix;timezone;raid_mode_enabled;raid_mode_reason;max_strikes;accepting_applications
1;invoice;Liaison Tonga;false;needs-based Sports Global;11775;true
2;Bedfordshire Awesome Cotton Tuna;calculating yellow;false;Concrete;90001;false
3;pixel Phased payment;Towels Internal;false;drive Ireland;4696;false
4;Mobility;Ergonomic;true;Business-focused generate grid-enabled;35567;true
5;card Home Loan Account Applications;invoice Research;true;black Beauty;26226;false
6;backing up indexing;Savings Account extensible conne;false;Incredible interface;49549;true
7;Investment Account Forge Licensed;auxiliary;true;24 hour Colorado granular;9158;true
8;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;true;alarm 1080p payment;69227;true
9;Engineer Central deposit;Associate Branding Small Metal S;true;Towels Mississippi Product;3394;false
10;card azure Frozen;Data Shoal;true;indexing;31910;true
