id;channel_id;channel_name;issued_by_id;issued_by_name;issued_to_id;issued_to_name;reason;time;moderation_action;guild_id
1;82891;Baby Money Market Account;23000;Granite Unbranded;69628;magnetic interface;Kansas;2019-10-01T05:27:52;UN_BAN;73785
2;62589;ADP Personal Loan Account;23295;Health JBOD;2126;CSS;matrix Data;2019-10-01T23:04:45;BAN;58075
3;87367;Coordinator;76827;e-services;42135;monitor Adaptive;Inlet;2019-10-01T17:37:54;TEMP_MUTE;71555
4;23360;Gorgeous Steel Salad Associate;42777;disintermediate;67964;lavender;neural Cloned Massachusetts;2019-10-01T01:11:03;NONE;98918
5;16703;Associate Intuitive Creative;64964;Auto Loan Account;51268;Automated;architect;2019-10-01T23:52:42;UN_BAN;82620
6;35012;Generic Frozen Bike EXE Communications;99490;Ball syndicate;75823;Zimbabwe Dollar Salad;Flat Savings Account generate;2019-10-01T23:55:23;UN_BAN;45743
7;87746;didactic Granite;88874;Configuration;86212;virtual;Infrastructure bandwidth;2019-10-01T18:00:23;TEMP_BAN;69571
8;72342;Borders;8104;yellow Bond Markets Units European Composite Unit (EURCO) Tasty;85120;Cambridgeshire;Borders Internal;2019-10-01T11:02:54;BAN;86449
9;26702;EXE optical deposit;85058;GB;70836;overriding UIC-Franc;Generic El Salvador Colon US Dollar purple;2019-10-01T03:36:03;UN_BAN;514
10;12886;one-to-one reboot Chair;81796;synthesizing Bedfordshire;638;asymmetric;website New York;2019-10-01T21:58:46;TEMP_MUTE;907
