id;annoucement_title;annoucement_img_url;annoucement_message;annoucement_fire;guild_id
1;efficient back up Tactics;Borders;../fake-data/blob/hipster.txt;2019-10-01T22:39:04;88253
2;Small bypassing;monetize Frozen;../fake-data/blob/hipster.txt;2019-10-01T11:08:20;20085
3;Turkish Lira overriding Rustic Metal Computer;deposit circuit Kids;../fake-data/blob/hipster.txt;2019-10-01T02:17:28;61660
4;Home Loan Account;capacitor;../fake-data/blob/hipster.txt;2019-10-01T03:51:24;94735
5;Auto Loan Account cross-platform Auto Loan Account;Handcrafted Customer;../fake-data/blob/hipster.txt;2019-10-01T11:37:04;59747
6;online Port Sleek Wooden Fish;Handmade Generic Concrete Tuna;../fake-data/blob/hipster.txt;2019-10-01T20:55:51;47927
7;Savings Account utilisation Hill;Pizza redundant deposit;../fake-data/blob/hipster.txt;2019-10-01T12:48:12;16167
8;Clothing deposit;Designer;../fake-data/blob/hipster.txt;2019-10-01T01:21:54;49327
9;Intelligent whiteboard;Practical Steel Mouse;../fake-data/blob/hipster.txt;2019-10-01T18:34:32;84045
10;Pizza Assurance;program e-commerce;../fake-data/blob/hipster.txt;2019-10-01T16:27:27;73535
