id;activity;channel_id;channel_name;time;user_id;user_name;guild_id
1;SERVER_QUIT;54330;Borders Michigan Clothing;2019-10-01T15:16:03;48666;HDD Forward;42172
2;CHANNEL_JOIN;91236;grey Investment Account;2019-10-01T09:36:09;83599;Customer-focused synthesize iterate;60185
3;NAME_CHANGE;37284;Bedfordshire applications Sleek Cotton Bike;2019-10-01T22:25:21;87074;Pike Borders;35923
4;SERVER_QUIT;39108;Coordinator;2019-10-01T18:33:53;85798;Garden Rhode Island;59871
5;CHANNEL_JOIN;23702;Enterprise-wide SDD;2019-10-01T14:09:05;16975;Jordan;33700
6;SERVER_QUIT;61714;port Pants Shirt;2019-10-01T23:52:47;60553;open-source Kuwait optical;70538
7;AVATAR_CHANGE;53990;Computers;2019-10-01T01:04:46;5708;Denmark;93660
8;SERVER_QUIT;45219;Security;2019-10-01T17:10:20;10330;Arizona Congolese Franc;39737
9;CHANNEL_LEAVE;32313;Facilitator Minnesota;2019-10-01T18:39:31;51559;Berkshire Tugrik;13965
10;AVATAR_CHANGE;30792;capacitor;2019-10-01T19:54:55;73289;Chips blue feed;15616
