id;reason;end_time;guild_id;user_id
1;Synergistic Officer;2019-10-01T18:37:57;69262;66163
2;Representative whiteboard Health;2019-10-01T18:54:01;61784;83087
3;COM back up Frozen;2019-10-01T05:40:04;68952;91867
4;Savings Account Branding navigating;2019-10-01T08:45:10;65123;57718
5;world-class;2019-10-01T20:56:13;99941;60495
6;utilisation;2019-10-01T03:57:56;40690;99333
7;transmit Awesome optimal;2019-10-01T22:08:28;87851;65051
8;copy Dynamic;2019-10-01T14:14:38;80784;90137
9;SAS help-desk SAS;2019-10-01T15:44:38;12020;29686
10;deposit firmware;2019-10-01T09:38:06;36646;60983
