id;name;message_title;body;footer;logo_url;guild_id
1;Ohio disintermediate;Pine Optimized;eyeballs Movies;Savings Account Pakistan Rupee;connect Berkshire;54236
2;Operations indexing Lead;leading-edge enable synthesize;Operative Place;generate 1080p;capacitor Andorra overriding;43086
3;Dynamic;Principal;invoice;Intelligent Frozen Shoes mission-critical;Shoes;61735
4;Fiji;system engine haptic Moldova;Generic;interface zero administration networks;Christmas Island;12322
5;CSS haptic Fish;Licensed;white Principal;Avon neural;integrate New Caledonia;11230
6;Kids invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;definition transmitter navigating;67142
7;primary calculate Table;Delaware Bike;SCSI Field Bermuda;Home;Phased sky blue;63796
8;Integrated;Checking Account Avon;bi-directional Credit Card Account Kenyan Shilling;content monitor;Industrial innovative bypassing;60321
9;front-end Product bypass;Generic;Savings Account monetize one-to-one;extensible Practical Granite Bacon;Turkish Lira;6993
10;payment;HDD;Pataca Function-based;collaboration Aruban Guilder;reintermediate efficient Producer;44635
